,Genome,Genus,Species
261,GCF_002846975.1,Dickeya,solani
262,GCF_000808245.1,Pectobacterium,brasiliense
263,GCF_016944295.1,Pectobacterium,brasiliense
264,GCF_016949935.1,Pectobacterium,polaris
265,GCF_016950285.1,Pectobacterium,brasiliense
266,GCF_000738105.1,Pectobacterium,brasiliense
267,GCF_002812485.1,Dickeya,fangzhongdai
268,GCF_000365285.1,Dickeya,solani
269,GCF_016949095.1,Pectobacterium,brasiliense A
270,GCF_002904105.1,Pectobacterium,carotovorum
271,GCF_016950195.1,Pectobacterium,brasiliense
272,GCF_002904145.1,Pectobacterium,carotovorum
273,GCF_016949435.1,Pectobacterium,brasiliense
274,GCF_016949335.1,Pectobacterium,brasiliense
275,GCF_003312345.1,Pectobacterium,peruviense
276,GCF_000816045.1,Dickeya,oryzae
277,GCF_015709085.1,Pectobacterium,aroidearum
278,GCF_003628775.1,Dickeya,fangzhongdai
279,GCF_000738125.1,Pectobacterium,brasiliense
280,GCF_003725575.1,Dickeya,undicola
