,AA10,AA3,CBM13,CBM3,CBM32,CBM34,CBM4,CBM48,CBM5,CBM63,CE1,CE11,CE12,CE2,CE4,CE8,CE9,GH1,GH102,GH103,GH104,GH105,GH108,GH12,GH13,GH153,GH18,GH19,GH2,GH20,GH23,GH24,GH26,GH28,GH3,GH30,GH31,GH32,GH33,GH36,GH38,GH4,GH42,GH43,GH5,GH53,GH65,GH68,GH73,GH77,GH78,GH8,GH88,GH91,GH94,GT1,GT11,GT14,GT19,GT2,GT20,GT25,GT26,GT28,GT30,GT32,GT35,GT4,GT41,GT5,GT51,GT52,GT56,GT73,GT8,GT81,GT83,GT84,GT9,GT97,PL1,PL10,PL11,PL17,PL2,PL22,PL26,PL3,PL4,PL9
AA10,1.0,-0.007194244604316543,-0.07081080766236447,0.02737471733545709,0.05933454124783532,,-0.012551422350245041,0.0050779742963647165,-0.007194244604316545,-0.1506834420975294,0.0071942446043164795,0.005077974296364717,0.00719424460431644,-0.02476817954952555,-0.03513060085198753,,0.008827004392484683,,0.005077974296364717,,-0.08184185850784945,,-0.021564489740532024,-0.07783515430536676,,-0.03513060085198753,0.3087983842558636,-0.06078109758665289,0.01454632013736534,,,0.04850381710184764,-0.036623760613606414,,,-0.0466369401086773,0.023524528286477324,0.005077974296364717,0.010210994787742806,0.025374059634434377,-0.023524528286477355,0.07133450803923379,0.017151922372396218,0.021564489740532107,0.008827004392484834,0.01715192237239621,0.12216599757487567,-0.010210994787742886,0.00882700439248476,0.008827004392484792,-0.017947990289086925,0.025374059634434305,-0.017947990289086925,-0.024768179549525537,-0.06175226933812414,-0.014758863732255252,-0.0154571424442514,0.70583842719468,,,-0.007194244604316545,0.23612580478095394,0.007194244604316452,0.005077974296364354,,-0.027137036297733938,0.007194244604316628,0.005077974296364717,0.05177073279524977,0.008827004392484678,,-0.010210994787742868,0.00882700439248472,-0.011436977194661626,0.09794042137487842,-0.16071253066845095,0.020179727270138302,-0.06175226933812414,,-0.0050779742963646055,,-0.022231983260291226,-0.024768179549525548,,0.007194244604316431,0.005077974296364462,-0.12956299912940153,0.007194244604316555,0.01454632013736545,
AA3,-0.007194244604316543,1.0,-0.07081080766236449,-0.06175226933812406,-0.12124884515862006,,-0.01255142235024504,0.005077974296364716,-0.0071942446043165445,-0.32359886745535016,0.007194244604316458,0.0050779742963647165,0.007194244604316439,-0.02476817954952555,-0.03513060085198752,,0.00882700439248463,,0.0050779742963647165,,0.08790421839731967,,-0.02156448974053202,-0.07783515430536676,,-0.03513060085198752,-0.011436977194661616,-0.06078109758665288,0.014546320137365272,,,0.04850381710184763,-0.03662376061360639,,,-0.0466369401086773,0.023524528286477348,0.0050779742963647165,0.010210994787742806,0.025374059634434364,-0.023524528286477355,-0.10085223550374439,-0.41944246528859874,-0.33361534127999537,-0.8150267389060897,-0.41944246528859874,-0.026557825559755565,-0.010210994787742884,0.008827004392484707,0.00882700439248479,-0.01794799028908692,0.025374059634434325,-0.01794799028908692,-0.024768179549525534,-0.06175226933812416,0.07133450803923383,-0.0154571424442514,-0.005077974296364601,,,-0.0071942446043165445,-0.03046784577818762,0.00719424460431639,0.005077974296364353,,-0.027137036297733935,0.007194244604316627,0.0050779742963647165,0.05177073279524981,0.008827004392484624,,-0.010210994787742867,-0.4030998672568021,-0.011436977194661626,-0.07345531603115879,0.04476467749212553,0.020179727270138302,-0.06175226933812416,,-0.005077974296364605,,-0.022231983260291223,-0.024768179549525548,,0.007194244604316618,0.0050779742963643825,-0.1295629991294015,0.007194244604316554,-0.4945748846704234,
CBM13,-0.07081080766236447,-0.07081080766236449,1.0,0.3838651567073354,0.5840122235368795,,-0.12353991319659045,-0.07171185393869633,0.10159811534165342,0.04122748254941284,-0.015393653839644488,0.04998098910878837,-0.015393653839644562,-0.24378581695374232,0.2907779165972548,,0.08688157612768031,,0.04998098910878837,,-0.28252449443370836,,0.030942231623551204,0.48714491957205486,,0.2907779165972548,0.10669750422607271,-0.5522520585703149,-0.07470005121624024,,,0.17417743984384995,-0.3604767715468763,,,-0.4246443830690497,-0.21946432291867912,0.04998098910878837,-0.08302486299967418,-0.2525820096734241,0.022147775707389638,0.36316775371827176,0.1688212651850663,0.2122528520141847,0.016368992603765828,0.16882126518506635,0.3241369545424576,0.08302486299967404,0.016368992603765755,-0.05414359092014875,-0.03328315102512671,-0.06751257454822365,0.18177720944492257,-0.24378581695374238,-0.15011334375141383,-0.24105917565647594,0.012494593556076662,-0.049980989108788336,,,0.10159811534165337,0.11082741063253064,-0.015393653839644571,0.049980989108788225,,0.03305272722238587,-0.015393653839644519,0.04998098910878837,-0.20872297414577662,-0.05414359092014895,,0.14420107784153904,0.016368992603765772,0.16151457061744964,0.27452998121171024,-0.21009622780742554,0.037421733551208064,-0.15011334375141383,,-0.04998098910878834,,-0.21882279199303717,0.1339376622789336,,0.0708108076623643,0.04998098910878818,-0.1663369597826152,0.07081080766236444,0.056025038412180136,
CBM3,0.02737471733545709,-0.06175226933812406,0.3838651567073354,1.0,0.5093019175344609,,-0.10773595508329466,-0.0822313795232397,0.11650170400903821,0.1908296831312136,0.06175226933812411,-0.0822313795232397,-0.027374717335457106,-0.21259928994346705,0.4415140204016604,,0.07576716982439931,,-0.0822313795232397,,-0.251868177257486,,-0.12224022280796726,0.4317702640321873,,0.4415140204016604,0.0718564226143618,-0.4741608981471297,-0.14545463771413739,,,0.03315507571344407,-0.3143624458125099,,,-0.2580912194726156,0.11449317563894171,-0.0822313795232397,0.024396515799864172,0.08112582607807517,-0.20192432794504278,0.24661958951367444,0.10859025120134469,0.18510020882491998,0.07576716982439934,0.10859025120134473,0.37742793683969905,-0.08764674194766019,0.07576716982439938,0.0028640510930185606,-0.15405774912695272,0.16313027121114765,0.10535220644764111,-0.21259928994346716,-0.49850712635907835,-0.2866707849863272,0.2503088973073347,-0.043587124665323745,,,0.11650170400903817,0.25747858178588173,-0.027374717335457207,0.043587124665323704,,0.10325874901817814,-0.027374717335457075,-0.0822313795232397,-0.2982609515768444,-0.07003906763836254,,0.1653541626435239,0.002864051093018528,-0.098170042163283,0.24917003048478428,-0.08851104513495675,0.1398807293570079,-0.49850712635907835,,-0.04358712466532377,,-0.1908296831312137,-0.1289144710341361,,0.061752269338124,0.043587124665323655,-0.2276636743895749,0.06175226933812406,0.07980696936527888,
CBM32,0.05933454124783532,-0.12124884515862006,0.5840122235368795,0.5093019175344609,1.0,,-0.21153651964407738,-0.04188059927269006,0.0593345412478353,0.15767043027201175,0.030957151955392406,-0.041880599272690076,-0.05933454124783525,-0.41743273022152405,0.2897396738585758,,0.14876670834303876,,-0.041880599272690076,,-0.7249901496572757,,0.17785315573373858,0.6419455311392144,,0.2897396738585758,0.09432648351990115,-0.944081148584266,-0.07432973061607392,,,0.3586957905645136,-0.6172418264874093,,,-0.6239114957165396,-0.19401857605903064,-0.041880599272690076,-0.08421519210665179,-0.18158056323793462,0.1349694442149777,0.8163429543245981,0.21079292034675978,0.36343905736894444,0.07491089569046618,0.24993218937666223,0.21903569906181053,0.08421519210665185,0.0010550830378938522,0.001055083037893845,-0.11477383847136204,-0.20927258813260854,0.11048322768738589,-0.417432730221524,0.02990522241013642,-0.5883314430410665,0.127482801374562,0.04188059927268994,,,0.05933454124783538,0.25128359563613983,0.030957151955392538,0.08558209416593196,,0.22381274033771392,-0.05933454124783547,-0.041880599272690076,-0.392781765215848,-0.07280072961467839,,0.08421519210665197,0.07491089569046615,0.09432648351990112,0.5750926670559375,-0.2955152751029954,-0.16643232555113224,0.02990522241013642,,-0.08558209416593167,,-0.3746887191295562,0.20427559138500112,,0.12124884515861989,0.08558209416593185,-0.07632649965207902,0.12124884515862011,0.06259345736090427,
CBM34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBM4,-0.012551422350245041,-0.01255142235024504,-0.12353991319659045,-0.10773595508329466,-0.21153651964407738,,1.0,0.008859276210753206,-0.012551422350245041,0.03878697861010552,0.012551422350245025,0.008859276210753206,0.012551422350245006,-0.043211747649818825,-0.061290522210853224,,0.015400012970238687,,0.008859276210753206,,0.15336189303473885,,-0.03762243757163114,-0.13579492345825822,,-0.061290522210853224,-0.0199534960340643,0.2065020680541517,0.0253782040683467,,,-0.029842566902742944,0.3427125489014355,,,0.26913048585513294,0.04104201432582705,0.008859276210753206,0.01781458863939848,0.044268794950480486,-0.0410420143258271,-0.12588408684495936,0.02992406203222412,0.03762243757163116,0.015400012970238724,0.02992406203222412,-0.04633404945734292,-0.01781458863939853,0.015400012970238644,0.015400012970238647,-0.0313129200974433,0.044268794950480486,-0.03131292009744329,-0.04321174764981884,-0.10773595508329466,0.12445358585808494,-0.02696726811725204,-0.008859276210753112,,,-0.012551422350245041,-0.053155657264518714,0.012551422350244996,0.008859276210753017,,-0.047344568143043636,0.012551422350245102,0.008859276210753206,0.09032169024458575,0.015400012970238616,,-0.017814588639398506,0.015400012970238724,-0.019953496034064315,-0.07831611862403647,0.07809859192708857,0.035206514903356564,-0.10773595508329466,,-0.008859276210753114,,0.5645660219915363,-0.043211747649818805,,0.0125514223502451,0.008859276210753057,0.09687505255809398,0.012551422350245053,0.025378204068346764,
CBM48,0.0050779742963647165,0.005077974296364716,-0.07171185393869633,-0.0822313795232397,-0.04188059927269006,,0.008859276210753206,1.0,0.005077974296364716,-0.015692188097862478,-0.005077974296364744,-0.0035842293906812144,-0.005077974296364884,0.017482332897712297,-0.1445456147408112,,-0.0062304388972322326,,-0.0035842293906812144,,0.057767128687870116,,0.015221045521712762,-0.06524011343823446,,-0.1445456147408112,0.008072657994941555,0.04290163432372951,-0.010267351727228296,,,-0.03423585797610676,0.02585045758946262,,,0.03291814445548141,-0.01660451604622391,-0.0035842293906812144,-0.007207312501073537,0.2001246300167686,0.016604516046223802,-0.050350636959119094,-0.012106485910697361,-0.015221045521713005,-0.00623043889723205,-0.01210648591069742,0.018745533822808597,0.007207312501073477,-0.006230438897231986,0.5752771915110831,0.012668381236954377,-0.017909986343913113,0.01266838123695468,0.017482332897712328,0.0435871246653236,0.07118538328703042,0.010910245111774575,0.003584229390681083,,,0.005077974296364716,0.02150537634408586,0.7058384271946796,-0.0035842293906814884,,0.019154363019117517,0.70583842719468,-0.0035842293906812144,0.09808581069245648,0.5752771915110831,,0.007207312501073667,0.5752771915110831,0.008072657994941458,-0.06913011298202835,-0.03159662955491912,-0.014243626957572041,0.0435871246653236,,0.003584229390681082,,0.015692188097862353,0.017482332897712713,,-0.005077974296364682,-0.0035842293906814884,-0.0391930900834809,-0.005077974296364354,-0.010267351727228218,
CBM5,-0.007194244604316545,-0.0071942446043165445,0.10159811534165342,0.11650170400903821,0.0593345412478353,,-0.012551422350245041,0.005077974296364716,1.0,0.02223198326029118,0.007194244604316409,0.005077974296364717,0.007194244604316436,-0.02476817954952555,0.20478569764939092,,0.008827004392484497,,0.005077974296364717,,-0.08184185850784952,,-0.021564489740532024,0.09242924573762304,,0.20478569764939092,0.6290337457063895,-0.0607810975866529,0.014546320137365357,,,-0.04990972484393019,-0.036623760613606414,,,-0.0466369401086773,0.023524528286477293,0.005077974296364717,0.010210994787742804,-0.1290767381403833,-0.023524528286477366,-0.014758863732255227,0.017151922372396197,0.021564489740532128,0.008827004392484789,0.01715192237239619,0.1221659975748757,-0.010210994787742886,0.008827004392484579,0.008827004392484789,-0.017947990289086925,0.02537405963443426,0.19144522975026046,-0.02476817954952556,-0.06175226933812414,0.07133450803923386,-0.015457142444251403,-0.005077974296364603,,,-0.007194244604316547,0.10282897950138316,0.007194244604316228,0.005077974296364351,,0.1189854668439102,0.007194244604316628,0.005077974296364717,-0.13896354592409133,0.008827004392484492,,0.34717382278325787,0.008827004392484752,-0.011436977194661621,0.09794042137487845,-0.057973926588162736,0.020179727270138285,-0.06175226933812414,,-0.005077974296364606,,-0.022231983260291237,-0.024768179549525537,,0.0071942446043164725,0.005077974296364224,0.055526999626886384,0.007194244604316553,0.014546320137365417,
CBM63,-0.1506834420975294,-0.32359886745535016,0.04122748254941284,0.1908296831312136,0.15767043027201175,,0.03878697861010552,-0.015692188097862478,0.02223198326029118,1.0,0.15068344209752935,-0.015692188097862485,0.15068344209752935,0.07653975968547862,0.10856218727908505,,0.11416185817797685,,-0.015692188097862485,,-0.09679327065810946,,0.06663957111502399,0.2405297488134948,,0.10856218727908505,-0.1845693618481271,-0.08897140602393865,0.04245438603934743,,,-0.04851470353828676,0.07316455290297838,,,-0.16629184890140464,-0.016154793722422085,-0.015692188097862485,-0.031554482461690986,-0.02537975471378949,-0.2665540964199611,0.10473066359107615,0.2468149944140354,0.5431342822250651,0.3970407987959724,0.2468149944140354,-0.02006160579502854,0.031554482461690875,0.11416185817797668,0.11416185817797685,0.05546369933313619,0.1337172151338453,0.05546369933313623,0.07653975968547859,0.09902158815399775,-0.10219685721387257,0.04776636755808224,-0.2284085156466641,,,0.022231983260291268,0.048384246635075887,-0.022231983260291313,-0.015692188097862395,,0.08386010900201396,-0.022231983260291254,-0.015692188097862485,0.03648764349531118,-0.027277612131021103,,0.03155448246169082,0.11416185817797689,0.035343069290067045,0.021018053012721697,0.03804810836181325,-0.06236031488250713,0.09902158815399775,,0.015692188097862426,,0.06870229007633587,-0.03169828431418799,,-0.022231983260291233,-0.01569218809786252,0.2414999508512531,0.3235988674553502,0.3920787416575037,
