ID	Result
AA3	-0.211989969864575
GH4	-0.27891320326718
CBM13	-0.31429168302245
GH65	-0.539985797259238
CBM3	-0.317057021906311
GH91	-0.455510289390194
CBM91	0.487258580661108
GH94	-0.195688922495827
CE2	-0.576136438243201
GT1	-0.141447812059829
GH104	-0.0303027520958112
GT25	0.190318999761678
GH108	0.00523996476602151
GT32	0.336164336960683
GH12	-0.193326519669138
GT8	-0.0453929496321198
GH153	-0.329950318491035
GT84	-0.191698861698731
GH19	-0.170025347460695
PL10	-0.462040493919273
GH26	-0.336455162531688
PL11	-0.243122479616858
GH30	-0.0857158277858212
PL38	0.545669824019668
GH38	-0.309429532788537
